ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (oz),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: stackable_optimized_css,Meta: rank_math_seo_score,Meta: rank_math_focus_keyword,Meta: rank_math_primary_product_cat,Meta: _dwps_table,Meta: _wcsob_hide,Meta: rank_math_primary_product_brand,Meta: rank_math_title
6010,simple,,,3-Stage Manual Knife Sharpener LKKSP20001,1,0,visible,"<h3>Key Features</h3>
\n<ul>
\n 	<li>The 3-stage manual sharpener provides solutions for dull knives, regular edge maintenance, and polishing needs.</li>
\n 	<li>A handle gripper beside the sharpening slots as well as the non-slip base ensures a safe, steady sharpening session.</li>
\n 	<li>The sharpener was designed in fashionable wooden patterns. While the different slots are made from diamond, tungsten steel, ceramic, or stainless steel open for customization.</li>
\n</ul>",,,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Knife Sharpening > Knife Sharpeners,,,"https://img.leeknives.com/wp-content/uploads/2022/11/LKKSP20001.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKKSP20001-scene.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKKSP20001-bottom.jpg",,,,,,,,,0,,,,,,,11,,91,6009,no,
6014,simple,,,3-Stage Manual Knife Sharpener LKKSP20002-4,1,0,visible,"<h3>Key Features</h3>
\n<ul>
\n 	<li>The sharpener has three different slots that are able to sharpen a wide range of blades including chef knives, cleavers, or even pocket knives.</li>
\n 	<li>Sharpener is made from durable, anti-slip ABS material. While the sharpening slots consist of ceramic, stainless steel, and diamond.</li>
\n 	<li>Comes in three different colors. Contact us to customize the colors or even add engravings of your brand.</li>
\n</ul>",,,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Knife Sharpening > Knife Sharpeners,,,"https://img.leeknives.com/wp-content/uploads/2022/11/LKKSP20002-4-red.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKKSP20002-4-use.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKKSP20002-4.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKKSP20002-4-green.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKKSP20002-4-generic-packaging.jpg",,,,,,,,,0,,,,,,,11,,91,6009,no,
6020,simple,,,2-Stage Portable Knife Sharpener LKKSP20005-8,1,0,visible,"<h3>Key Features</h3>
\n<ul>
\n 	<li>This mini 2-stage sharpener comes with a ceramic slot for regular sharpening maintenance as well as a tungsten slot for polishing blades.</li>
\n 	<li>Portable and powerful. Users can easily attach it to a keychain and sharpen a blade wherever, whenever.</li>
\n 	<li>The non-slip base helps the sharpener from moving uncontrollably.</li>
\n</ul>",,,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Knife Sharpening > Knife Sharpeners,,,"https://img.leeknives.com/wp-content/uploads/2022/11/LKKSP20005-8.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKKSP20005-8-colors.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKKSP20005-8-portable.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKKSP20005-8-use.jpg",,,,,,,,,0,,,,,,,11,,91,6009,no,
6025,simple,,,2-Stage Portable Knife Sharpener LKKSP20009,1,0,visible,"<h3>Key Features</h3>
\n<ul>
\n 	<li>A delicate yet almighty 2-stage sharpening tool. One side is sharpening slots, the other is a gripping station for controllability.</li>
\n 	<li>The two slots should be used under different circumstances. Ceramic slot wears off metal and should be used for dull/chipped knives. Tungsteel steel slot polish and refine a sharpened edge.</li>
\n 	<li>Not only is it convenient to use, being lightweight makes the sharpener portable so that it can be carried around at any time.</li>
\n</ul>",,,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Knife Sharpening > Knife Sharpeners,,,"https://img.leeknives.com/wp-content/uploads/2022/11/LKKSP20009.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKKSP20009-two-stage.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKKSP20009-portable.jpg",,,,,,,,,0,,,,,,,11,,91,6009,no,
6029,simple,,,4-in-1 Knife and Scissor Sharpener LKKSP20010-12,1,0,visible,"<h3>Key Features</h3>
\n<ul>
\n 	<li>The ultimate 4-in-1 manual sharpener: In addition to the complete sharpening slots there’s also a sharpening entry for scissors shaped in a lightning symbol.</li>
\n 	<li>Secure your sharpening experience with handle and non-slip base. Sharpen with safety in mind.</li>
\n 	<li>Comes in three variations. The protected cover on the sharpening slots can be customized to steel-made material.</li>
\n</ul>",,,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Knife Sharpening > Knife Sharpeners,,,"https://img.leeknives.com/wp-content/uploads/2022/11/LKKSP20010-12-silver.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKKSP20010-12-top-view.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKKSP20010-12-side-view.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKKSP20010-12-blue.jpg, https://img.leeknives.com/wp-content/uploads/2022/11/LKKSP20010-12.jpg",,,,,,,,,0,,,,,,,11,,91,6009,no,
14196,simple,,,Knife Sharpener With Suction Pad LKKSP20013,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Knife Sharpening > Knife Sharpeners,,,"https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20013-2.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20013-1.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20013-3.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20013-4.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20013-5.jpg",,,,,,,,,0,,,,,,,7,,91,6009,no,,
14198,simple,,,Electric Knife Sharpener LKKSP20014,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Knife Sharpening > Knife Sharpeners,,,"https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20014-3.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20014-4.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20014-6.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20014-2.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20014-5.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20014-9.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20014-1.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20014-7.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20014-8.jpg",,,,,,,,,0,,,,,,,7,,91,6009,no,,
14199,simple,,,Diamond Rolling Knife Sharpener Set LKKSP20015,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Knife Sharpening > Knife Sharpeners,,,"https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20015-2.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20015-5.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20015-4.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20015-3.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20015-6.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20015-7.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20015-1.jpg",,,,,,,,,0,,,,,,,6,,91,6009,no,,
14200,simple,,,Fixed-Angle Knife Sharpener Set LKKSP20016,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Knife Sharpening > Knife Sharpeners,,,"https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20016-2.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20016-3.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20016-1.jpg",,,,,,,,,0,,,,,,,7,,91,6009,no,,
14201,simple,,,4-in-1 Knife and Scissor Sharpener LKKSP20017,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,,Knife Accessories > Knife Sharpening > Knife Sharpeners,,,"https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20017-2.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20017-3.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20017-4.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20017-5.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20017-6.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20017-7.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKKSP20017-1.jpg",,,,,,,,,0,,,,,,,7,,91,6009,no,,
