Keyword,Search Volume,Keyword Difficulty,Position,Traffic,URL,competitor,category,opportunity_score
butcher knife,18100,23.0,1,0,https://www.koiknives.com/blogs/australian-steak-knives/steak-knife-handles-exploring-the-best-materials-for-aesthetic-appeal-and-comfort,koi,blog,1393700.0
meat cleaver,22200,33.0,2,0,https://www.koiknives.com/blogs/western-knife-guide/the-cleaver-knife-a-comprehensive-guide,koi,blog,743700.0
ebony wood,9900,25.0,1,0,https://www.koiknives.com/blogs/japanese-knives/ebony-wood-handles-in-kitchen-knives,koi,blog,742500.0
chef knives,9900,40.0,1,0,https://www.koiknives.com/blogs/news_updates/7-tips-for-knife-care-and-maintaining-your-knife-in-2022,koi,blog,594000.0
seax,6600,20.0,1,401,https://nobliecustomknives.com/the-seax-knife-through-the-ages-saxon-vs-viking/,noblie,blog,528000.0
blades,14800,38.0,2,111,https://nobliecustomknives.com/types-of-knife-blades-and-knife-shapes/,noblie,blog,458800.0
barramundi fish,6600,34.0,1,0,https://www.koiknives.com/blogs/fish-of-australia/the-barramundi-australias-premier-sporting-fish,koi,blog,435600.0
big knife,3600,7.0,1,148,https://nobliecustomknives.com/big-knives/,noblie,blog,334800.0
paracord keychain,4400,26.0,1,48,https://nobliecustomknives.com/100-paracord-keychain-and-knife-lanyard-ideas/,noblie,blog,325600.0
types of knives,8100,27.0,2,87,https://nobliecustomknives.com/types-of-knives/,noblie,blog,295650.0
se ax,2900,9.0,1,179,https://nobliecustomknives.com/the-seax-knife-through-the-ages-saxon-vs-viking/,noblie,blog,263900.0
serrated knife,14800,29.0,4,59,https://nobliecustomknives.com/what-is-a-serrated-knife/,noblie,blog,262700.0
g10 punch dagger,2900,15.0,1,0,https://www.koiknives.com/blogs/japanese-knives/g10-and-d2-maintenance-and-tips,koi,blog,246500.0
different types of knives,2400,9.0,1,99,https://nobliecustomknives.com/types-of-knives/,noblie,blog,218400.0
aztec sword,2900,25.0,1,63,https://nobliecustomknives.com/macuahuitl-the-complete-guide-to-the-aztec-obsidian-sword/,noblie,blog,217500.0
kookabura,3600,40.0,1,0,https://www.koiknives.com/blogs/bird-guide/the-kookaburra,koi,blog,216000.0
ww1 trench knife,2400,11.0,1,99,https://nobliecustomknives.com/authenticate-the-1918-trench-knife/,noblie,blog,213600.0
steak knives,9900,18.0,4,0,https://www.koiknives.com/blogs/australian-steak-knives/steak-knife-blade-materials-choosing-the-best-for-your-needs,koi,blog,202950.0
boning knife,12100,17.0,5,0,https://www.koiknives.com/blogs/japanese-knives/your-complete-guide-for-choosing-using-and-caring-for-a-boning-knife,koi,blog,200860.0
rainbow bird,2900,35.0,1,0,https://www.koiknives.com/blogs/oz-pocket-knives-the-aviary-almanac/the-lorikeet-natures-rainbow-parrot,koi,blog,188500.0
cleaver knife,8100,32.0,3,0,https://www.koiknives.com/blogs/western-knife-guide/the-cleaver-knife-a-comprehensive-guide,koi,blog,183600.0
pocket knives,14800,33.0,6,0,https://www.koiknives.com/blogs/pocket-knives/pocket-protections-keeping-you-and-your-pockets-safe,koi,blog,165267.0
how to throw a knife,1900,15.0,1,28,https://www.koiknives.com/blogs/japanese-knives/cutting-through-the-mystery-13-knife-superstitions-you-need-to-know,koi,blog,161500.0
jambiya,1900,19.0,1,115,https://nobliecustomknives.com/jambiya-arab-dagger/,noblie,blog,153900.0
full tang knife,1900,19.0,1,1,https://www.koiknives.com/blogs/japanese-knives/the-difference-between-a-full-tang-and-a-partial-tang-knife,koi,blog,153900.0
daggers,9900,23.0,5,21,https://nobliecustomknives.com/types-of-daggers/,noblie,blog,152460.0
karma bit knife,4400,32.0,2,96,https://nobliecustomknives.com/ultimate-guide-to-karambits-self-defense-tactical-use-everyday-carry/,noblie,blog,149600.0
full tang,1600,8.0,1,8,https://www.koiknives.com/blogs/japanese-knives/the-difference-between-a-full-tang-and-a-partial-tang-knife,koi,blog,147200.0
folding knife,9900,27.0,5,0,https://www.koiknives.com/blogs/japanese-knives/top-10-uses-for-your-pocket-knife-around-the-home-or-campsite,koi,blog,144540.0
