ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (oz),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: stackable_optimized_css,Meta: rank_math_seo_score,Meta: rank_math_focus_keyword,Meta: rank_math_primary_product_cat,Meta: _dwps_table,Meta: _wcsob_hide,Meta: rank_math_primary_product_brand,Meta: rank_math_title
11299,simple,,,65Mn High Carbon Steel Hard Wood Hatchets S/M/L LKAXE70001-4,1,0,visible,,"<p>This 65Mn high carbon steel hard wood hatchet is built for demanding outdoor use. The forged 65Mn steel head provides exceptional edge retention and durability for splitting and chopping tasks. The traditional hard wood handle offers a secure grip and effective shock absorption. Available in multiple sizes to suit different applications, this hatchet is balanced for both power and control. Ideal for camping and outdoor retailers seeking reliable, bulk-order tools.</p>",,,taxable,,1,,,0,0,,,,,0,,,,Axes,,,"https://img.leeknives.com/wp-content/uploads/2023/08/LKAXE70001.jpg, https://img.leeknives.com/wp-content/uploads/2023/08/LKAXE70001-spec.jpg, https://img.leeknives.com/wp-content/uploads/2023/08/LKAXE70002.jpg, https://img.leeknives.com/wp-content/uploads/2023/08/LKAXE70002-spec.jpg, https://img.leeknives.com/wp-content/uploads/2023/08/LKAXE70003.jpg, https://img.leeknives.com/wp-content/uploads/2023/08/LKAXE70003-spec.jpg, https://img.leeknives.com/wp-content/uploads/2023/08/LKAXE70004.jpg, https://img.leeknives.com/wp-content/uploads/2023/08/LKAXE70004-spec.jpg, https://img.leeknives.com/wp-content/uploads/2023/08/LKAXE70001-4-detail-6.jpg, https://img.leeknives.com/wp-content/uploads/2023/08/LKAXE70001-4-detail-4.jpg, https://img.leeknives.com/wp-content/uploads/2023/08/LKAXE70001-4-detail-3.jpg, https://img.leeknives.com/wp-content/uploads/2023/08/LKAXE70001-4-detail-5.jpg, https://img.leeknives.com/wp-content/uploads/2023/08/LKAXE70001-4-detail-2.jpg, https://img.leeknives.com/wp-content/uploads/2023/08/LKAXE70001-4-detail-1.jpg",,,,,,,,,0,,,,,,,7,,178,11295,no,,
11315,simple,,,Mirror Finish 65Mn High Carbon Steel Hard Wood Hatchets S/M/L LKAXE70005-8,1,0,visible,,"<p>Featuring a polished mirror finish, this 65Mn high carbon steel hatchet combines rugged performance with a distinctive appearance. The mirror finish on the forged steel head enhances corrosion resistance while providing a premium look. The hard wood handle ensures a firm, comfortable grip during sustained use. This model is designed for wholesale buyers targeting customers who value both tool functionality and visual appeal in their outdoor gear.</p>",,,taxable,,1,,,0,0,,,,,0,,,,Axes,,,"https://img.leeknives.com/wp-content/uploads/2023/08/LKAXE70005.jpg, https://img.leeknives.com/wp-content/uploads/2023/08/LKAXE70005-spec.jpg, https://img.leeknives.com/wp-content/uploads/2023/08/LKAXE70006.jpg, https://img.leeknives.com/wp-content/uploads/2023/08/LKAXE70006-spec.jpg, https://img.leeknives.com/wp-content/uploads/2023/08/LKAXE70007.jpg, https://img.leeknives.com/wp-content/uploads/2023/08/LKAXE70007-spec.jpg, https://img.leeknives.com/wp-content/uploads/2023/08/LKAXE70008.jpg, https://img.leeknives.com/wp-content/uploads/2023/08/LKAXE70008-spec.jpg, https://img.leeknives.com/wp-content/uploads/2023/08/LKAXE70005-8-detail-6.jpg, https://img.leeknives.com/wp-content/uploads/2023/08/LKAXE70005-8-detail-5.jpg, https://img.leeknives.com/wp-content/uploads/2023/08/LKAXE70005-8-detail-4.jpg, https://img.leeknives.com/wp-content/uploads/2023/08/LKAXE70005-8-detail-3.jpg, https://img.leeknives.com/wp-content/uploads/2023/08/LKAXE70005-8-detail-2.jpg, https://img.leeknives.com/wp-content/uploads/2023/08/LKAXE70005-8-detail-1.jpg, https://img.leeknives.com/wp-content/uploads/2023/08/LKAXE70005-8-detail-8.jpg, https://img.leeknives.com/wp-content/uploads/2023/08/LKAXE70005-8-detail-7.jpg",,,,,,,,,0,,,,,,,7,,178,11295,no,,
11333,simple,,,4Cr13 Rosewood Hatchets S/L LKAXE70009-10,1,0,visible,Leather sheath is included.,"<p>Constructed with 4Cr13 steel and a rosewood handle, this hatchet offers a robust tool for general outdoor tasks. The 4Cr13 steel provides a good balance of hardness and toughness, suitable for camping and light splitting. The rosewood handle is not only aesthetically pleasing but also durable and ergonomic. Available in two sizes, this model is a practical choice for retailers stocking versatile, mid-range outdoor axes.</p>",,,taxable,,1,,,0,0,,,,,0,,,,Axes,,,"https://img.leeknives.com/wp-content/uploads/2023/08/LKAXE70009-10-4Cr13-Rosewood-Hatchets-SL.png, https://img.leeknives.com/wp-content/uploads/2023/08/Axe-sheath.png",,,,,,,,,0,,,,,,,10,,178,11295,no,,
11337,simple,,,4Cr13 Rosewood Hatchet LKAXE70011,1,0,visible,"<div class=""woocommerce-product-details__short-description"">
\n
\nLeather sheath is included.
\n
\n</div>","<p>This large hatchet features a 4Cr13 steel head paired with a solid rosewood handle. The design prioritizes durability and effective weight distribution for more demanding chopping applications. The rosewood handle offers a stable, comfortable grip that withstands outdoor conditions. As a standalone large-size option, it is well-suited for bulk purchase by retailers catering to camping and bushcraft enthusiasts.</p>",,,taxable,,1,,,0,0,,,,,0,,,,Axes,,,"https://img.leeknives.com/wp-content/uploads/2023/08/LKAXE70011-4Cr13-Rosewood-Hatchet.png, https://img.leeknives.com/wp-content/uploads/2023/08/Axe-sheath.png",,,,,,,,,0,,,,,,,10,,178,11295,no,,
11344,simple,,,4Cr13 African Blackwood Hatchets S/L LKAXE70012-13,1,0,visible,Leather sheath is included.,"<p>Built with 4Cr13 steel and an African Blackwood handle, these hatchets offer enhanced durability and a premium feel. African Blackwood is known for its density and resistance to wear, providing a exceptionally sturdy and long-lasting handle. The 4Cr13 steel head ensures reliable performance for various outdoor tasks. Available in two sizes, this series is designed for wholesale distributors targeting the higher-end segment of the outdoor tool market.</p>",,,taxable,,1,,,0,0,,,,,0,,,,Axes,,,https://img.leeknives.com/wp-content/uploads/2023/08/LKAXE70012-134Cr13-African-Blackwood-Hatchets-SL.png,,,,,,,,,0,,,,,,,10,,178,11295,no,,
11347,simple,,,4Cr13 African Blackwood Hatchet LKAXE70014,1,0,visible,Leather sheath is included.,<p>This 4Cr13 steel hatchet features a durable forged head with an African Blackwood handle for reliable outdoor performance. The balanced weight distribution provides effective splitting power for camping and survival applications. Built for wholesale distribution to outdoor retailers seeking rugged tools.</p>,,,taxable,,1,,,0,0,,,,,0,,,,Axes,,,https://img.leeknives.com/wp-content/uploads/2023/08/LKAXE70014-4Cr13-African-Blackwood-Hatchet.png,,,,,,,,,0,,,,,,,10,,178,11295,no,,
11350,simple,,,9Cr18MoV Hatchet LKAXE70015,1,0,visible,Kydex sheath is included.,"<p>Constructed with high-carbon 9Cr18MoV steel, this hatchet offers superior edge retention and durability for demanding outdoor use. The forged head and ergonomic handle deliver optimal balance and splitting force. A practical wholesale option for camping and tactical gear suppliers.</p>",,,taxable,,1,,,0,0,,,,,0,,,,Axes,,,"https://img.leeknives.com/wp-content/uploads/2023/08/LKAXE70015-9Cr18MoV-Hatchet.png, https://img.leeknives.com/wp-content/uploads/2023/08/LKAXE70015-sheath.png",,,,,,,,,0,,,,,,,10,,178,11295,no,,
11354,simple,,,9Cr18MoV Hatchet LKAXE70016,1,0,visible,Kydex sheath is included.,"<p>Featuring a 9Cr18MoV steel head, this hatchet provides exceptional toughness and corrosion resistance for outdoor environments. Designed with a focus on weight distribution and handle ergonomics to maximize splitting efficiency. Available in bulk quantities for sporting goods distributors.</p>",,,taxable,,1,,,0,0,,,,,0,,,,Axes,,,"https://img.leeknives.com/wp-content/uploads/2023/08/LKAXE70016-9Cr18MoV-Hatchet.png, https://img.leeknives.com/wp-content/uploads/2023/08/LKAXE70016-sheath.png",,,,,,,,,0,,,,,,,10,,178,11295,no,,
11358,simple,,,9Cr18MoV Hatchet LKAXE70017,1,0,visible,Kydex sheath is included.,<p>This 9Cr18MoV steel hatchet combines forged construction with practical design for camping and survival applications. The blade geometry and handle balance ensure effective performance in splitting and cutting tasks. A durable wholesale product for outdoor equipment retailers.</p>,,,taxable,,1,,,0,0,,,,,0,,,,Axes,,,"https://img.leeknives.com/wp-content/uploads/2023/08/LKAXE70017-9Cr18MoV-Hatchet.png, https://img.leeknives.com/wp-content/uploads/2023/08/LKAXE70017.png",,,,,,,,,0,,,,,,,10,,178,11295,no,,
11362,simple,,,9Cr18MoV Tomahawk LKAXE70018,1,0,visible,Kydex sheath is included.,"<p>Built with 9Cr18MoV steel, this tomahawk offers tactical versatility and outdoor durability. The forged head design and balanced construction provide reliable performance for camping and survival scenarios. Available for bulk order by outdoor gear wholesalers and distributors.</p>",,,taxable,,1,,,0,0,,,,,0,,,,Axes,,,"https://img.leeknives.com/wp-content/uploads/2023/08/LKAXE70018-9Cr18MoV-Tomahawk.png, https://img.leeknives.com/wp-content/uploads/2023/08/LKAXE70018-sheath.png",,,,,,,,,0,,,,,,,10,,178,11295,no,,
